,ticker,security,industry,weight
0,MMM,3M Company,Industrials,0.00332975812214418
1,ABT,Abbott Laboratories,Health Care,0.006305398164974009
2,ABBV,AbbVie Inc.,Health Care,0.006059632058713238
3,ABMD,ABIOMED Inc,Health Care,0.00041386818411938756
4,ACN,Accenture plc,Information Technology,0.00550862238847636
5,ATVI,Activision Blizzard,Communication Services,0.0022380084887156674
6,ADBE,Adobe Inc.,Information Technology,0.00777139127215264
7,AMD,Advanced Micro Devices Inc,Information Technology,0.003722147774419675
8,AAP,Advance Auto Parts,Consumer Discretionary,0.00036329719800081025
9,AES,AES Corp,Utilities,0.0004761024068527726
10,AFL,AFLAC Inc,Financials,0.0009726028552310096
11,A,Agilent Technologies Inc,Health Care,0.001204554842280475
12,APD,Air Products & Chemicals Inc,Materials,0.0019348956112553366
13,AKAM,Akamai Technologies Inc,Information Technology,0.000558431729900848
14,ALK,Alaska Air Group Inc,Industrials,0.00020185982677922552
15,ALB,Albemarle Corp,Materials,0.0004796367209784719
16,ARE,Alexandria Real Estate Equities,Real Estate,0.0006821933125424782
17,ALXN,Alexion Pharmaceuticals,Health Care,0.0011330607165377577
18,ALGN,Align Technology,Health Care,0.0012366363165014654
19,ALLE,Allegion,Industrials,0.0003450096469104062
20,LNT,Alliant Energy Corp,Utilities,0.0004116567132807357
21,ALL,Allstate Corp,Financials,0.001089416986105551
22,GOOGL,Alphabet Inc. (Class A),Communication Services,0.017104434387806053
23,GOOG,Alphabet Inc. (Class C),Communication Services,0.016784033665250872
24,MO,Altria Group Inc,Consumer Staples,0.002615867060914359
25,AMZN,Amazon.com Inc.,Consumer Discretionary,0.045064191475405996
26,AMCR,Amcor plc,Materials,0.000597581832373237
27,AEE,Ameren Corp,Utilities,0.0006294512477466855
28,AAL,American Airlines Group,Industrials,0.00028192718878685324
29,AEP,American Electric Power,Utilities,0.001355399369165321
30,AXP,American Express Co,Financials,0.002540384209229781
31,AIG,American International Group,Financials,0.0010776830632082293
32,AMT,American Tower Corp.,Real Estate,0.003233766150490187
33,AWK,American Water Works Company Inc,Utilities,0.0008933534344924723
34,AMP,Ameriprise Financial,Financials,0.0007483859670966463
35,ABC,AmerisourceBergen Corp,Health Care,0.0004752137793011682
36,AME,AMETEK Inc.,Industrials,0.0008748841186756037
37,AMGN,Amgen Inc.,Health Care,0.004433968737375872
38,APH,Amphenol Corp,Information Technology,0.0012827338707409434
39,ADI,"Analog Devices, Inc.",Information Technology,0.001732025980440197
